id;season;round;position;points;wins;driverId
0;2000;1;1;10.0;1;michael_schumacher
1;2000;1;2;6.0;0;barrichello
2;2000;1;3;4.0;0;ralf_schumacher
3;2000;1;4;3.0;0;villeneuve
4;2000;1;5;2.0;0;fisichella
5;2000;1;6;1.0;0;zonta
6;2000;1;7;0.0;0;wurz
7;2000;1;8;0.0;0;gene
8;2000;1;9;0.0;0;heidfeld
9;2000;2;1;20.0;2;michael_schumacher
10;2000;2;2;8.0;0;fisichella
11;2000;2;3;6.0;0;barrichello
12;2000;2;4;6.0;0;ralf_schumacher
13;2000;2;5;4.0;0;frentzen
14;2000;2;6;3.0;0;trulli
15;2000;2;7;3.0;0;villeneuve
16;2000;2;8;1.0;0;zonta
17;2000;2;9;1.0;0;button
18;2000;2;10;0.0;0;verstappen
19;2000;2;11;0.0;0;wurz
20;2000;2;12;0.0;0;rosa
21;2000;2;13;0.0;0;gene
22;2000;2;14;0.0;0;heidfeld
23;2000;2;15;0.0;0;mazzacane
24;2000;3;1;30.0;3;michael_schumacher
25;2000;3;2;9.0;0;barrichello
26;2000;3;3;8.0;0;fisichella
27;2000;3;4;6.0;0;hakkinen
28;2000;3;5;6.0;0;ralf_schumacher
29;2000;3;6;5.0;0;villeneuve
30;2000;3;7;4.0;0;coulthard
31;2000;3;8;4.0;0;frentzen
32;2000;3;9;3.0;0;trulli
33;2000;3;10;1.0;0;zonta
34;2000;3;11;1.0;0;button
35;2000;3;12;1.0;0;salo
36;2000;3;13;0.0;0;wurz
37;2000;3;14;0.0;0;verstappen
38;2000;3;15;0.0;0;irvine
39;2000;3;16;0.0;0;rosa
40;2000;3;17;0.0;0;diniz
41;2000;3;18;0.0;0;gene
42;2000;3;19;0.0;0;heidfeld
43;2000;3;20;0.0;0;mazzacane
44;2000;3;21;0.0;0;herbert
45;2000;4;1;34.0;3;michael_schumacher
46;2000;4;2;14.0;1;coulthard
47;2000;4;3;12.0;0;hakkinen
48;2000;4;4;9.0;0;barrichello
49;2000;4;5;9.0;0;ralf_schumacher
50;2000;4;6;8.0;0;fisichella
51;2000;4;7;5.0;0;villeneuve
52;2000;4;8;4.0;0;frentzen
53;2000;4;9;4.0;0;trulli
54;2000;4;10;3.0;0;button
55;2000;4;11;1.0;0;salo
56;2000;4;12;1.0;0;zonta
57;2000;4;13;0.0;0;wurz
58;2000;4;14;0.0;0;irvine
59;2000;4;15;0.0;0;verstappen
60;2000;4;16;0.0;0;diniz
61;2000;4;17;0.0;0;gene
62;2000;4;18;0.0;0;rosa
63;2000;4;19;0.0;0;heidfeld
64;2000;4;20;0.0;0;herbert
65;2000;4;21;0.0;0;mazzacane
66;2000;4;22;0.0;0;alesi
67;2000;5;1;36.0;3;michael_schumacher
68;2000;5;2;22.0;1;hakkinen
69;2000;5;3;20.0;1;coulthard
70;2000;5;4;13.0;0;barrichello
71;2000;5;5;12.0;0;ralf_schumacher
72;2000;5;6;8.0;0;fisichella
73;2000;5;7;5.0;0;frentzen
74;2000;5;8;5.0;0;villeneuve
75;2000;5;9;4.0;0;trulli
76;2000;5;10;3.0;0;button
77;2000;5;11;1.0;0;salo
78;2000;5;12;1.0;0;zonta
79;2000;5;13;0.0;0;wurz
80;2000;5;14;0.0;0;irvine
81;2000;5;15;0.0;0;verstappen
82;2000;5;16;0.0;0;diniz
83;2000;5;17;0.0;0;gene
84;2000;5;18;0.0;0;rosa
85;2000;5;19;0.0;0;heidfeld
86;2000;5;20;0.0;0;herbert
87;2000;5;21;0.0;0;mazzacane
88;2000;5;22;0.0;0;alesi
89;2000;6;1;46.0;4;michael_schumacher
90;2000;6;2;28.0;1;hakkinen
91;2000;6;3;24.0;1;coulthard
92;2000;6;4;16.0;0;barrichello
93;2000;6;5;12.0;0;ralf_schumacher
94;2000;6;6;10.0;0;fisichella
95;2000;6;7;5.0;0;frentzen
96;2000;6;8;5.0;0;villeneuve
97;2000;6;9;4.0;0;trulli
98;2000;6;10;3.0;0;button
99;2000;6;11;1.0;0;salo
100;2000;6;12;1.0;0;zonta
101;2000;6;13;1.0;0;rosa
102;2000;6;14;0.0;0;diniz
103;2000;6;15;0.0;0;wurz
104;2000;6;16;0.0;0;irvine
105;2000;6;17;0.0;0;verstappen
106;2000;6;18;0.0;0;mazzacane
107;2000;6;19;0.0;0;gene
108;2000;6;20;0.0;0;alesi
109;2000;6;21;0.0;0;heidfeld
110;2000;6;22;0.0;0;herbert
111;2000;7;1;46.0;4;michael_schumacher
112;2000;7;2;34.0;2;coulthard
113;2000;7;3;29.0;1;hakkinen
114;2000;7;4;22.0;0;barrichello
115;2000;7;5;14.0;0;fisichella
116;2000;7;6;12.0;0;ralf_schumacher
117;2000;7;7;5.0;0;frentzen
118;2000;7;8;5.0;0;villeneuve
119;2000;7;9;4.0;0;trulli
120;2000;7;10;3.0;0;irvine
121;2000;7;11;3.0;0;salo
122;2000;7;12;3.0;0;button
123;2000;7;13;1.0;0;zonta
124;2000;7;14;1.0;0;rosa
125;2000;7;15;0.0;0;diniz
126;2000;7;16;0.0;0;wurz
127;2000;7;17;0.0;0;verstappen
128;2000;7;18;0.0;0;heidfeld
129;2000;7;19;0.0;0;mazzacane
130;2000;7;20;0.0;0;gene
131;2000;7;21;0.0;0;herbert
132;2000;7;22;0.0;0;alesi
133;2000;8;1;56.0;5;michael_schumacher
134;2000;8;2;34.0;2;coulthard
135;2000;8;3;32.0;1;hakkinen
136;2000;8;4;28.0;0;barrichello
137;2000;8;5;18.0;0;fisichella
138;2000;8;6;12.0;0;ralf_schumacher
139;2000;8;7;5.0;0;frentzen
140;2000;8;8;5.0;0;villeneuve
141;2000;8;9;5.0;0;trulli
142;2000;8;10;3.0;0;irvine
143;2000;8;11;3.0;0;salo
144;2000;8;12;3.0;0;button
145;2000;8;13;2.0;0;verstappen
146;2000;8;14;1.0;0;zonta
147;2000;8;15;1.0;0;rosa
148;2000;8;16;0.0;0;diniz
149;2000;8;17;0.0;0;wurz
150;2000;8;18;0.0;0;heidfeld
151;2000;8;19;0.0;0;mazzacane
152;2000;8;20;0.0;0;gene
153;2000;8;21;0.0;0;herbert
154;2000;8;22;0.0;0;alesi
155;2000;9;1;56.0;5;michael_schumacher
156;2000;9;2;44.0;3;coulthard
157;2000;9;3;38.0;1;hakkinen
158;2000;9;4;32.0;0;barrichello
159;2000;9;5;18.0;0;fisichella
160;2000;9;6;14.0;0;ralf_schumacher
161;2000;9;7;8.0;0;villeneuve
162;2000;9;8;6.0;0;trulli
163;2000;9;9;5.0;0;frentzen
164;2000;9;10;3.0;0;irvine
165;2000;9;11;3.0;0;salo
166;2000;9;12;3.0;0;button
167;2000;9;13;2.0;0;verstappen
168;2000;9;14;1.0;0;zonta
169;2000;9;15;1.0;0;rosa
170;2000;9;16;0.0;0;diniz
171;2000;9;17;0.0;0;wurz
172;2000;9;18;0.0;0;heidfeld
173;2000;9;19;0.0;0;mazzacane
174;2000;9;20;0.0;0;gene
175;2000;9;21;0.0;0;herbert
176;2000;9;22;0.0;0;alesi
177;2000;10;1;56.0;5;michael_schumacher
178;2000;10;2;50.0;3;coulthard
179;2000;10;3;48.0;2;hakkinen
180;2000;10;4;36.0;0;barrichello
181;2000;10;5;18.0;0;fisichella
182;2000;10;6;14.0;0;ralf_schumacher
183;2000;10;7;11.0;0;villeneuve
184;2000;10;8;6.0;0;trulli
185;2000;10;9;5.0;0;frentzen
186;2000;10;10;5.0;0;button
187;2000;10;11;4.0;0;salo
188;2000;10;12;3.0;0;irvine
189;2000;10;13;2.0;0;verstappen
190;2000;10;14;1.0;0;zonta
191;2000;10;15;1.0;0;rosa
192;2000;10;16;0.0;0;diniz
193;2000;10;17;0.0;0;wurz
194;2000;10;18;0.0;0;herbert
195;2000;10;19;0.0;0;gene
196;2000;10;20;0.0;0;heidfeld
197;2000;10;21;0.0;0;mazzacane
198;2000;10;22;0.0;0;alesi
199;2000;10;23;0.0;0;burti
200;2000;11;1;56.0;5;michael_schumacher
201;2000;11;2;54.0;3;coulthard
202;2000;11;3;54.0;2;hakkinen
203;2000;11;4;46.0;1;barrichello
204;2000;11;5;18.0;0;fisichella
205;2000;11;6;14.0;0;ralf_schumacher
206;2000;11;7;11.0;0;villeneuve
207;2000;11;8;8.0;0;button
208;2000;11;9;6.0;0;trulli
209;2000;11;10;6.0;0;salo
210;2000;11;11;5.0;0;frentzen
211;2000;11;12;3.0;0;irvine
212;2000;11;13;2.0;0;verstappen
213;2000;11;14;2.0;0;rosa
214;2000;11;15;1.0;0;zonta
215;2000;11;16;0.0;0;diniz
216;2000;11;17;0.0;0;wurz
217;2000;11;18;0.0;0;herbert
218;2000;11;19;0.0;0;gene
219;2000;11;20;0.0;0;heidfeld
220;2000;11;21;0.0;0;mazzacane
221;2000;11;22;0.0;0;alesi
222;2000;11;23;0.0;0;burti
223;2000;12;1;64.0;3;hakkinen
224;2000;12;2;62.0;5;michael_schumacher
225;2000;12;3;58.0;3;coulthard
226;2000;12;4;49.0;1;barrichello
227;2000;12;5;18.0;0;fisichella
228;2000;12;6;16.0;0;ralf_schumacher
229;2000;12;7;11.0;0;villeneuve
230;2000;12;8;8.0;0;button
231;2000;12;9;6.0;0;frentzen
232;2000;12;10;6.0;0;trulli
233;2000;12;11;6.0;0;salo
234;2000;12;12;3.0;0;irvine
235;2000;12;13;2.0;0;verstappen
236;2000;12;14;2.0;0;rosa
237;2000;12;15;1.0;0;zonta
238;2000;12;16;0.0;0;diniz
239;2000;12;17;0.0;0;wurz
240;2000;12;18;0.0;0;herbert
241;2000;12;19;0.0;0;gene
242;2000;12;20;0.0;0;heidfeld
243;2000;12;21;0.0;0;mazzacane
244;2000;12;22;0.0;0;alesi
245;2000;12;23;0.0;0;burti
246;2000;13;1;74.0;4;hakkinen
247;2000;13;2;68.0;5;michael_schumacher
248;2000;13;3;61.0;3;coulthard
249;2000;13;4;49.0;1;barrichello
250;2000;13;5;20.0;0;ralf_schumacher
251;2000;13;6;18.0;0;fisichella
252;2000;13;7;11.0;0;villeneuve
253;2000;13;8;10.0;0;button
254;2000;13;9;7.0;0;frentzen
255;2000;13;10;6.0;0;trulli
256;2000;13;11;6.0;0;salo
257;2000;13;12;3.0;0;irvine
