id;season;round;circuitId;country;constructorId;driverId;position;points;grid;status;differenceGridPosition
0;2000;1;albert_park;Australia;arrows;rosa;20;0.0;12;Suspension;-8
1;2000;1;albert_park;Australia;arrows;verstappen;18;0.0;13;Suspension;-5
2;2000;1;albert_park;Australia;bar;villeneuve;4;3.0;8;Finished;4
3;2000;1;albert_park;Australia;bar;zonta;6;1.0;16;Finished;10
4;2000;1;albert_park;Australia;benetton;fisichella;5;2.0;9;Finished;4
5;2000;1;albert_park;Australia;benetton;wurz;7;0.0;14;Finished;7
6;2000;1;albert_park;Australia;ferrari;barrichello;2;6.0;4;Finished;2
7;2000;1;albert_park;Australia;ferrari;michael_schumacher;1;10.0;3;Finished;2
8;2000;1;albert_park;Australia;jaguar;herbert;22;0.0;20;Clutch;-2
9;2000;1;albert_park;Australia;jaguar;irvine;21;0.0;7;Spun off;-14
10;2000;1;albert_park;Australia;jordan;frentzen;14;0.0;5;Hydraulics;-9
11;2000;1;albert_park;Australia;jordan;trulli;15;0.0;6;Engine;-9
12;2000;1;albert_park;Australia;mclaren;coulthard;19;0.0;2;Engine;-17
13;2000;1;albert_park;Australia;mclaren;hakkinen;17;0.0;1;Engine;-16
14;2000;1;albert_park;Australia;minardi;gene;8;0.0;18;+1 Lap;10
15;2000;1;albert_park;Australia;minardi;mazzacane;13;0.0;22;Gearbox;9
16;2000;1;albert_park;Australia;prost;alesi;16;0.0;17;Hydraulics;1
17;2000;1;albert_park;Australia;prost;heidfeld;9;0.0;15;+2 Laps;6
18;2000;1;albert_park;Australia;sauber;diniz;12;0.0;19;Transmission;7
19;2000;1;albert_park;Australia;sauber;salo;10;0.0;10;Disqualified;0
20;2000;1;albert_park;Australia;williams;button;11;0.0;21;Engine;10
21;2000;1;albert_park;Australia;williams;ralf_schumacher;3;4.0;11;Finished;8
22;2000;2;interlagos;Brazil;arrows;rosa;8;0.0;16;+1 Lap;8
23;2000;2;interlagos;Brazil;arrows;verstappen;7;0.0;14;+1 Lap;7
24;2000;2;interlagos;Brazil;bar;villeneuve;17;0.0;10;Gearbox;-7
25;2000;2;interlagos;Brazil;bar;zonta;9;0.0;8;+2 Laps;-1
26;2000;2;interlagos;Brazil;benetton;fisichella;2;6.0;5;Finished;3
27;2000;2;interlagos;Brazil;benetton;wurz;20;0.0;13;Engine;-7
28;2000;2;interlagos;Brazil;ferrari;barrichello;15;0.0;4;Hydraulics;-11
29;2000;2;interlagos;Brazil;ferrari;michael_schumacher;1;10.0;3;Finished;2
30;2000;2;interlagos;Brazil;jaguar;herbert;12;0.0;17;Gearbox;5
31;2000;2;interlagos;Brazil;jaguar;irvine;16;0.0;6;Spun off;-10
32;2000;2;interlagos;Brazil;jordan;frentzen;3;4.0;7;Finished;4
33;2000;2;interlagos;Brazil;jordan;trulli;4;3.0;12;Finished;8
34;2000;2;interlagos;Brazil;mclaren;coulthard;11;0.0;2;Disqualified;-9
35;2000;2;interlagos;Brazil;mclaren;hakkinen;14;0.0;1;Oil pressure;-13
36;2000;2;interlagos;Brazil;minardi;gene;13;0.0;18;Engine;5
37;2000;2;interlagos;Brazil;minardi;mazzacane;10;0.0;20;+2 Laps;10
38;2000;2;interlagos;Brazil;prost;alesi;18;0.0;15;Electrical;-3
39;2000;2;interlagos;Brazil;prost;heidfeld;19;0.0;19;Engine;0
40;2000;2;interlagos;Brazil;sauber;diniz;21;0.0;0;Safety concerns;-21
