id,wikiUrl
2000,http://en.wikipedia.org/wiki/2000_Formula_One_season
2001,http://en.wikipedia.org/wiki/2001_Formula_One_season
2002,http://en.wikipedia.org/wiki/2002_Formula_One_season
2003,http://en.wikipedia.org/wiki/2003_Formula_One_season
2004,http://en.wikipedia.org/wiki/2004_Formula_One_season
2005,http://en.wikipedia.org/wiki/2005_Formula_One_season
2006,http://en.wikipedia.org/wiki/2006_Formula_One_season
2007,http://en.wikipedia.org/wiki/2007_Formula_One_season
2008,http://en.wikipedia.org/wiki/2008_Formula_One_season
2009,http://en.wikipedia.org/wiki/2009_Formula_One_season
2010,http://en.wikipedia.org/wiki/2010_Formula_One_season
2011,http://en.wikipedia.org/wiki/2011_Formula_One_season
2012,http://en.wikipedia.org/wiki/2012_Formula_One_season
2013,http://en.wikipedia.org/wiki/2013_Formula_One_season
2014,http://en.wikipedia.org/wiki/2014_Formula_One_season
2015,http://en.wikipedia.org/wiki/2015_Formula_One_season
2016,http://en.wikipedia.org/wiki/2016_Formula_One_season
2017,http://en.wikipedia.org/wiki/2017_Formula_One_season
2018,http://en.wikipedia.org/wiki/2018_Formula_One_World_Championship
2019,http://en.wikipedia.org/wiki/2019_Formula_One_World_Championship
2020,http://en.wikipedia.org/wiki/2020_Formula_One_World_Championship
2021,http://en.wikipedia.org/wiki/2021_Formula_One_World_Championship
2022,http://en.wikipedia.org/wiki/2022_Formula_One_World_Championship
2023,http://en.wikipedia.org/wiki/2023_Formula_One_World_Championship
2024,https://en.wikipedia.org/wiki/2024_Formula_One_World_Championship
